SK_ID_CURR,TARGET
100006,0.0
100014,0.0
100015,0.0
100017,0.0
100018,0.0
100019,0.0
100030,0.0
100032,0.0
100035,0.0
100040,0.0
100045,0.0
100048,0.0
100049,1.0
100051,0.0
100059,0.0
100060,0.0
100062,0.0
100069,0.0
100071,0.0
100078,0.0
100086,0.0
100098,0.0
100100,0.0
100103,0.0
100104,0.0
100105,0.0
100113,0.0
100114,0.0
100119,0.0
100120,0.0
100121,0.0
100122,0.0
100133,0.0
100138,0.0
100139,0.0
100143,0.0
100148,0.0
100156,0.0
100159,0.0
100167,0.0
100176,0.0
100182,0.0
100192,1.0
100194,0.0
100197,0.0
100198,0.0
100200,0.0
100206,0.0
100209,1.0
100210,0.0
100211,0.0
100214,1.0
100218,0.0
100226,0.0
100228,0.0
100234,0.0
100238,0.0
100240,0.0
100246,1.0
100247,0.0
100254,0.0
100258,0.0
100260,0.0
100262,0.0
100267,0.0
100274,0.0
100276,0.0
100282,1.0
100285,0.0
100286,1.0
100288,0.0
100293,0.0
100296,0.0
100301,1.0
100305,0.0
100308,0.0
100314,0.0
100320,0.0
100321,0.0
100326,1.0
100335,0.0
100337,0.0
100339,0.0
100343,0.0
100347,0.0
100353,0.0
100357,0.0
100359,0.0
100361,0.0
100374,0.0
100376,0.0
100383,0.0
100388,0.0
100390,0.0
100392,0.0
100394,0.0
100395,0.0
100396,1.0
100397,0.0
100405,0.0
100407,0.0
100413,0.0
100417,0.0
100425,0.0
100436,0.0
100443,0.0
100449,0.0
100457,0.0
100461,0.0
100464,0.0
100465,0.0
100469,0.0
100472,1.0
100475,0.0
100480,0.0
100481,0.0
100485,1.0
100495,0.0
100497,0.0
100501,0.0
100506,0.0
100519,0.0
100522,0.0
100525,0.0
100526,0.0
100530,0.0
100532,0.0
100534,0.0
100537,0.0
100538,0.0
100539,0.0
100544,0.0
100554,0.0
100555,0.0
100563,0.0
100570,0.0
100571,0.0
100581,0.0
100586,0.0
100590,0.0
100595,0.0
100601,0.0
100609,0.0
100610,0.0
100611,0.0
100612,0.0
100616,1.0
100619,0.0
100621,0.0
100628,0.0
100633,0.0
100635,0.0
100640,0.0
100642,0.0
100646,1.0
100649,1.0
100658,0.0
100661,0.0
100671,0.0
100680,0.0
100681,0.0
100691,0.0
100692,0.0
100693,0.0
100695,0.0
100697,0.0
100700,0.0
100708,0.0
100710,0.0
100712,0.0
100723,0.0
100724,0.0
100732,0.0
100741,0.0
100743,0.0
100748,0.0
100749,0.0
100750,0.0
100759,0.0
100773,0.0
100793,0.0
100795,0.0
100796,1.0
100798,0.0
100800,0.0
100803,0.0
100807,0.0
100810,0.0
100815,0.0
100816,1.0
100819,0.0
100827,0.0
100828,0.0
100837,0.0
100843,0.0
100845,0.0
100846,0.0
100848,0.0
100850,0.0
100851,0.0
100852,0.0
100857,0.0
100877,0.0
100880,0.0
100890,0.0
100891,0.0
100892,0.0
100896,1.0
100900,0.0
100915,0.0
100922,0.0
100932,0.0
100941,0.0
100945,1.0
100947,0.0
100949,0.0
100950,0.0
100959,0.0
100964,0.0
100972,0.0
100977,0.0
100978,0.0
100980,0.0
100981,0.0
100991,0.0
100992,1.0
100994,0.0
101000,0.0
101001,0.0
101007,0.0
101012,0.0
101015,0.0
101035,0.0
101039,0.0
101043,0.0
101048,0.0
101052,0.0
101058,0.0
101066,0.0
101074,0.0
101078,0.0
101081,0.0
101086,0.0
101091,0.0
101110,0.0
101117,0.0
101127,1.0
101131,0.0
101133,0.0
101142,1.0
101144,0.0
101147,1.0
101152,0.0
101154,0.0
101155,0.0
101161,0.0
101165,1.0
101166,0.0
101171,0.0
101173,0.0
101175,0.0
101185,0.0
101201,1.0
101207,0.0
101215,0.0
101218,0.0
101219,0.0
101220,0.0
101221,0.0
101228,0.0
101233,0.0
101234,0.0
101240,0.0
101257,0.0
101273,0.0
101275,0.0
101283,0.0
101284,0.0
101306,0.0
101310,0.0
101325,0.0
101333,0.0
101334,0.0
101339,0.0
101342,0.0
101344,0.0
101358,0.0
101359,0.0
101361,0.0
101370,0.0
101375,0.0
101376,0.0
101384,0.0
101389,0.0
101391,0.0
101402,0.0
101403,0.0
101411,0.0
101415,0.0
101417,0.0
101430,0.0
101433,0.0
101441,0.0
101452,0.0
101453,0.0
101456,0.0
101471,0.0
101473,0.0
101474,1.0
101476,0.0
101479,0.0
101486,0.0
101491,0.0
101500,0.0
101501,0.0
101502,0.0
101519,0.0
101520,0.0
101521,0.0
101524,0.0
101525,0.0
101534,0.0
101541,1.0
101545,0.0
101546,0.0
101549,0.0
101554,0.0
101557,0.0
101558,0.0
101559,1.0
101560,0.0
101561,0.0
101562,0.0
101564,1.0
101566,0.0
101569,0.0
101574,1.0
101590,0.0
101591,0.0
101593,0.0
101594,0.0
101595,0.0
101600,0.0
101603,0.0
101605,0.0
101606,0.0
101609,0.0
101613,0.0
101626,0.0
101627,0.0
101637,0.0
101642,0.0
101647,0.0
101660,0.0
101661,0.0
101664,0.0
101690,0.0
101693,0.0
101696,0.0
101705,1.0
101706,0.0
101707,0.0
101708,0.0
101713,0.0
101718,0.0
101722,0.0
101730,1.0
101731,0.0
101735,0.0
101737,0.0
101738,0.0
101740,0.0
101746,0.0
101747,0.0
101752,0.0
101755,0.0
101761,0.0
101765,0.0
101766,0.0
101787,0.0
101790,0.0
101793,0.0
101794,0.0
101796,1.0
101797,0.0
101802,0.0
101806,0.0
101808,0.0
101826,0.0
101839,0.0
101841,0.0
101843,0.0
101844,0.0
101847,0.0
101848,0.0
101858,0.0
101859,1.0
101866,0.0
101875,0.0
101882,0.0
101888,0.0
101893,0.0
101904,0.0
101910,0.0
101919,0.0
101926,0.0
101929,1.0
101937,0.0
101942,0.0
101950,1.0
101951,0.0
101955,0.0
101956,0.0
101957,0.0
101958,0.0
101960,0.0
101980,1.0
101982,0.0
101983,1.0
101987,0.0
101994,0.0
102000,0.0
102001,0.0
102011,0.0
102015,0.0
102020,1.0
102032,0.0
102036,0.0
102040,0.0
102043,0.0
102046,0.0
102060,0.0
102061,0.0
102063,0.0
102081,0.0
102083,1.0
102085,0.0
102086,0.0
102087,0.0
102088,0.0
102094,0.0
102103,0.0
102124,0.0
102129,0.0
102130,0.0
102135,1.0
102140,0.0
102141,0.0
102142,0.0
102150,0.0
102152,0.0
102163,0.0
102169,0.0
102170,0.0
102179,0.0
102181,0.0
102182,0.0
102192,0.0
102196,0.0
102199,0.0
102203,0.0
102207,0.0
102208,1.0
102211,0.0
102224,0.0
102227,0.0
102233,0.0
102239,0.0
102246,0.0
102250,0.0
102251,0.0
102261,0.0
102268,0.0
102270,0.0
102277,0.0
102279,1.0
102284,0.0
102287,0.0
102291,0.0
102292,0.0
102299,0.0
102301,0.0
102304,0.0
102312,0.0
102313,0.0
102321,0.0
102326,0.0
102332,0.0
102333,0.0
102336,0.0
102348,0.0
102349,0.0
102355,0.0
102358,0.0
102359,0.0
102360,0.0
102361,0.0
102362,0.0
102363,0.0
102372,0.0
102381,0.0
102383,0.0
102384,0.0
102385,0.0
102386,0.0
102392,1.0
102397,0.0
102401,0.0
102412,0.0
102417,0.0
102418,0.0
102431,0.0
102433,0.0
102466,0.0
102472,0.0
102477,0.0
102485,0.0
102493,0.0
102496,0.0
102504,0.0
102513,0.0
102515,0.0
102516,0.0
102518,0.0
102524,1.0
102526,0.0
102530,0.0
102537,0.0
102540,0.0
102541,0.0
102546,0.0
102548,0.0
102550,0.0
102552,0.0
102553,0.0
